Flooding Billion-Dollar Disasters to affect the U.S. from 1980-2020 (CPI-Adjusted),,,,,,
Name,Disaster,Begin Date,End Date,Total CPI-Adjusted Cost (Millions of Dollars),Deaths,Region
Southern Severe Storms and Flooding (April 1980),Flooding,19800410,19800417,2360.6,7,other
Gulf States Storms and Flooding (December 1982-January 1983),Flooding,19821201,19830115,4239.7,45,other
Western Storms & Flooding (December 1982-March 1983),Flooding,19821213,19830331,4138.8,50,other
"Virginia, West Virginia, Pennsylvania and Maryland Flooding (November 1985)",Flooding,19851103,19851108,3346,62,other
Southern Flooding (May 1990),Flooding,19900511,19900519,2054.1,13,other
Midwest Flooding (Summer 1993),Flooding,19930627,19930815,38148.8,48,midwest
Texas Flooding (October 1994),Flooding,19941016,19941025,1780,19,other
California Flooding (January-March 1995),Flooding,19950101,19950331,4325,27,other
Pacific Northwest Severe Flooding (February 1996),Flooding,19960207,19960212,1704,9,other
West Coast Flooding (December 1996-January 1997),Flooding,19970101,19970111,4947.8,36,other
Northern Plains Flooding (Spring 1997),Flooding,19970203,19970524,6029.4,11,midwest
Texas Flooding (October 1998),Flooding,19981016,19981024,1516.8,31,other
South Florida Flooding (October 2000),Flooding,20001003,20001004,1386,3,other
Northeast Flooding (June 2006),Flooding,20060625,20060628,1993.4,20,other
Midwest Flooding (Summer 2008),Flooding,20080401,20080630,12248.9,24,midwest
Northeast Flooding (March 2010),Flooding,20100301,20100331,2213,11,other
East/South Flooding and Severe Weather (May 2010),Flooding,20100430,20100502,2719.6,32,other
Mississippi River flooding (April-May 2011),Flooding,20110401,20110531,3523.5,7,other
Missouri River flooding (May-June 2011),Flooding,20110501,20110630,2362.6,5,midwest
Illinois Flooding and Severe Weather (April 2013),Flooding,20130416,20130419,1217.1,4,midwest
Colorado Flooding (September 2013),Flooding,20130910,20130916,1704.6,9,other
Michigan and Northeast Flooding (August 2014),Flooding,20140811,20140813,1145.2,2,other
Texas and Oklahoma Flooding and Severe Weather (May 2015),Flooding,20150523,20150526,2775.5,31,other
South Carolina and East Coast Flooding (October 2015),Flooding,20151001,20151005,2218,25,other
Texas and Louisiana Flooding (March 2016),Flooding,20160308,20160312,2524.3,5,other
Houston Flooding (April 2016),Flooding,20160417,20160418,2943.6,8,other
West Virginia Flooding and Ohio Valley Tornadoes (June 2016),Flooding,20160622,20160624,1065.8,23,other
Louisiana Flooding (August 2016),Flooding,20160812,20160815,11000,13,other
California Flooding (February 2017),Flooding,20170208,20170222,1605,5,other
Missouri and Arkansas Flooding and Central Severe Weather (May 2017),Flooding,20170425,20170507,1775.3,20,midwest
Missouri River and North Central Flooding (March 2019),Flooding,20190314,20190331,10941.6,3,midwest
Arkansas River Flooding (June 2019),Flooding,20190520,20190614,3085.5,5,other
"Mississippi River, Midwest and Southern Flooding (July 2019)",Flooding,20190315,20190731,6292.4,4,midwest